,source_language,split,target_language
0,he 's the cutest boy in town .,train,c'est le garçon le plus mignon en ville .
1,he 's a nonsmoker .,train,il est non-fumeur .
2,he 's smarter than me .,train,il est plus intelligent que moi .
3,he 's a lovely young man .,train,c'est un adorable jeune homme .
4,he 's three years older than me .,train,il a trois ans de plus que moi .
5,he 's washing your car .,train,il lave votre voiture .
6,he 's your typical workaholic .,train,"il est l'archétype du bourreau de travail , tel que tu te l'imagines ."
7,he 's waiting for you at home .,train,il t'attend chez nous .
8,he 's a historian .,train,il est historien .
9,he 's studying .,train,il étudie .
10,he 's down to earth .,train,il est concret .
11,he 's starting to feel desperate .,train,il commence à se sentir désespéré .
12,he 's sketching an apple .,train,il est en train de dessiner une pomme .
13,he 's worried about the result .,train,il se préoccupe du résultat .
14,he 's out of town .,train,il ne se trouve pas en ville .
15,he 's a freelance journalist .,train,c'est un pigiste .
16,he 's afraid of snakes .,train,il a peur des serpents .
17,he 's nothing more than a common thug .,train,il n'est rien d'autre qu'un vulgaire voyou .
18,he 's a journalist .,train,il est journaliste .
19,he 's waiting for the train to leave .,train,il attend que le train parte .
20,he 's not available .,train,il est indisponible .
21,he 's very young . he 's much younger than tom .,train,il est très jeune . il est beaucoup plus jeune que tom .
22,he 's waiting for you at home .,train,il t'attend à la maison .
23,he 's perfect at everything .,train,il est parfait en tout .
24,he 's eight years old .,train,il a huit ans .
25,he 's a notorious liar .,train,c'est un menteur notoire .
26,he 's ruthless .,train,il est impitoyable .
27,"he 's kind of cute , is n't he ?",train,"il est assez mignon , non ?"
28,he 's lazy .,train,il est paresseux .
29,he 's looking at you .,train,il est en train de vous regarder .
30,he 's our only suspect .,train,il est notre unique suspect .
31,he 's tickled pink .,train,il est aux anges .
32,he 's a university student .,train,c'est un étudiant de l'université .
33,he 's not very good at it .,train,il n'y excelle pas .
34,he 's used to speaking in public .,train,il est habitué à parler en public .
35,he 's a hunk .,train,c'est un beau gosse .
36,he 's wide awake .,train,il est tout à fait éveillé .
37,he 's not worthy of you .,train,il n'est pas digne de vous .
38,he 's smart .,train,il est intelligent .
39,he 's my partner .,train,c'est mon compagnon .
40,he 's stronger than you .,train,il est plus fort que vous .
41,he 's not always happy .,train,il n'est pas toujours heureux .
42,he 's a bigot .,train,c'est un illuminé .
43,he 's addicted .,train,il est accro .
44,he 's got the new technique down pat .,train,il maîtrise la nouvelle technique .
45,he 's not good at remembering names .,train,il n'est pas doué pour retenir les noms .
46,he 's here trying to stir up trouble .,train,il est ici pour fomenter des troubles .
47,he 's not my type .,train,il n'est pas mon genre .
48,he 's very influential in the world of medicine .,train,il est très influent dans le monde de la médecine .
49,he 's always chasing girls .,train,il court toujours après les filles .
50,he 's a little taller than you are .,train,il est un peu plus grand que vous .
51,he 's not supposed to be here .,train,il n'est pas supposé se trouver là .
52,he 's just not the person i thought he was .,train,il n'est simplement pas la personne que je pensais .
53,he 's the laziest person i know .,train,il est la personne la plus paresseuse que je connaisse .
54,he 's waiting for you at home .,train,il vous attend chez moi .
55,he 's a control freak .,train,c'est un maniaque du contrôle .
56,he 's afraid of making mistakes .,train,il a peur de faire des erreurs .
57,he 's rich and powerful .,train,il est riche et puissant .
58,he 's an author .,train,c'est un auteur .
59,he 's an opera lover .,train,c'est un inconditionnel de l'opéra .
60,he 's acting on his own .,train,il agit de son propre chef .
61,"he 's older , but no wiser .",train,"il est plus vieux , mais pas plus sage ."
62,he 's short and fat .,train,il est petit et gros .
63,he 's somewhere in the park .,train,il se trouve quelque part dans le parc .
64,he 's greedy and lazy .,train,il est avide et paresseux .
65,he 's already married .,train,il est déjà marié .
66,he 's loaded .,train,il est plein aux as .
67,he 's more than likely to be late .,train,il est plus que probable qu'il sera en retard .
68,he 's a typical japanese man .,train,c'est un japonais typique .
69,he 's agreed to do the job .,train,il a accepté de faire le travail .
70,he 's not at all afraid of snakes .,train,il ne craint pas du tout les serpents .
71,he 's very intelligent .,train,il est très intelligent .
72,he 's curious about everything .,train,il est curieux de tout .
73,he 's a bigot .,train,c'est un fanatique .
74,he 's english .,train,il est anglais .
75,he 's your son .,train,il est ton fils .
76,he 's not sick .,train,il n'est pas malade .
77,he 's right behind you .,train,il se trouve juste derrière vous .
78,he 's a rather rare individual .,train,c'est un individu plutôt rare .
79,he 's a man of his word .,train,c'est un homme qui tient toujours ses promesses .
80,he 's your friend .,train,il est ton ami .
81,he 's a good boy .,train,c'est un bon garçon .
82,he 's good .,train,il est bon .
83,he 's the one who told me about that .,train,c'est lui qui m'a parlé de cela .
84,he 's always looking at you .,train,il vous regarde toujours .
85,he 's the black sheep of the family .,train,il est le mouton noir de la famille .
86,he 's skilled at videogames .,train,il est doué aux jeux vidéo .
87,he 's a ghostwriter .,train,c'est un nègre .
88,he 's sound asleep .,train,il dort profondément .
89,he 's writing his diary .,train,il écrit son journal .
90,he 's a hunk .,train,c'est un beau mec .
91,he 's open-minded .,train,il est ouvert d'esprit .
92,he 's drunk .,train,il est ivre .
93,he 's a tycoon .,train,c'est un magnat .
94,he 's never hit me before .,train,il ne m'a jamais frappé auparavant .
95,he 's in danger .,train,il est en danger .
96,he 's on his last legs .,train,il est au bout de ses forces .
